listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,prioridade,status_operacional
IAA1002,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",0,537,4152.05,52,4952.87,2025-09,0.8667,0.7607,26,30,241.2,230.13,16,0.84,berlinda,800.8199999999997,4.0,7834.13,7343.308736000001,9.302318988788315,59.60854092526691,Média,🟢 Abaixo viável
IER0305,Salvador-Ondina_Rio_Vermelho-apartamento-JR-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina",0,7,2422.12,58,2360.13,2025-09,0.6667,0.6885,20,30,138.83,136.0,19,1.03,berlinda,-61.98999999999978,-0.0,5006.12,4144.8728,-3.5721083160673226,21.530249110320284,Baixa,🟢 Acima com folga
NWT1113,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,227,4340.51,33,4282.3,2025-09,0.6333,0.6542,19,30,334.65,324.0,4,1.01,berlinda,-58.210000000000036,-0.0,5636.51,5161.2668,-4.40418466711814,20.640569395017792,Baixa,🟢 Acima com folga
RLU0302,Gramado-Carniel-apartamento-TOP-3Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Jardim Bela Vista",5,46,6295.41,15,6308.7,2025-09,0.84,0.393,21,30,454.4,428.13,16,1.0,berlinda,13.289999999999964,1.0,13145.49,12049.4772,0.9019049407960412,29.8932384341637,Baixa,🟢 Acima com folga
TPS209,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,936,2221.28,20,2397.6,2025-09,0.5667,0.5347,17,30,162.13,163.33,6,0.93,berlinda,176.3199999999997,2.0,3201.26,2776.6346660000004,6.005660994327651,41.281138790035584,Baixa,🟢 Abaixo viável
VRA404,Florianopolis-Centrao-apartamento-SUP-3Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,399,4544.97,22,5385.11,2025-09,0.7,0.6007,21,30,415.12,325.5,14,0.84,berlinda,840.1399999999994,3.0,9101.970000000001,7734.87,16.92726610969877,85.40925266903915,Crítica,🟢 Abaixo viável
BLS1354,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Marista",4,143,2835.55,143,2973.3,2025-09,0.7692,0.6535,20,30,191.6,224.48,21,0.95,berlinda,137.75,1.0,7549.63,6461.620336,10.399932734671912,65.83629893238434,Média,🟢 Abaixo viável
JBA202,Florianopolis-Jurere_Tradicional-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1910,2200.89,14,2200.44,2025-09,0.6333,0.3981,19,30,161.0,178.11,18,1.0,berlinda,-0.4499999999998181,-0.0,5406.870000000001,4231.237134,-0.03642430604786662,28.11387900355872,Baixa,🟢 Acima com folga
LHG1603,Goiania-Central-2-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Oeste",0,311,2735.5,38,3313.92,2025-09,0.8,0.5596,24,30,241.9,159.31,16,0.83,berlinda,578.4200000000001,4.0,5284.46,4774.668,6.95159284171012,46.619217081850536,Baixa,🟢 Abaixo viável
NWT1316,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,307,6390.52,24,6319.25,2025-09,0.8,0.7645,24,30,435.68,416.67,9,1.01,berlinda,-71.27000000000044,-0.0,10140.550000000001,9390.544000000002,-4.699303066028435,19.750889679715304,Baixa,🟢 Acima com folga
RAH1019,Florianopolis-Centrao-apartamento-JR-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,186,2476.97,67,2541.64,2025-09,0.8667,0.621,26,30,144.21,154.33,12,0.97,berlinda,64.67000000000007,1.0,4328.93,4082.063732,3.926803599250883,33.985765124555165,Baixa,🟢 Abaixo viável
SOT0303,Florianopolis-Jurere_Tradicional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,202,3077.48,17,3641.82,2025-09,0.7667,0.4566,23,30,229.33,222.91,11,0.85,berlinda,564.3400000000001,3.0,5529.49,4957.436067000001,11.514117428465257,70.99644128113879,Média,🟢 Abaixo viável
TXP0609,Goiania-Central-apartamento-SUP-1Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",2,700,2935.72,143,2973.3,2025-09,0.8214,0.6535,23,30,152.4,196.85,26,0.99,berlinda,37.58000000000038,1.0,8053.82,7139.7273399999995,2.4880176907813123,31.316725978647685,Baixa,🟢 Abaixo viável
UPS1002,Porto_Belo-Geral-apartamento-SUP-3Q,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Perequê",0,38,1929.69,22,2379.6,2025-09,0.4,0.3505,12,30,210.0,176.57,23,0.81,berlinda,449.90999999999985,3.0,5990.799999999999,3554.134,11.128005925365603,69.57295373665481,Média,🟢 Abaixo viável
VTD0302,Florianopolis-UFSC-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Trindade",2,76,2520.01,39,2601.66,2025-09,0.5357,0.6281,15,30,192.29,350.0,14,0.97,berlinda,81.64999999999964,1.0,7420.01,5144.9400000000005,10.984333079649097,69.03914590747331,Média,🟢 Abaixo viável
EATNR0205,Sao_Paulo-Bela_Vista-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Bela Vista",0,111,3587.85,214,4116.85,2025-09,0.5333,0.7015,16,30,258.5,251.88,26,0.87,berlinda,529.0000000000005,3.0,10136.73,7080.367704,10.788549497795653,67.79359430604983,Média,🟢 Abaixo viável
NWT0615,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",5,150,4278.02,33,4282.3,2025-09,0.92,0.6542,23,30,267.5,254.0,7,1.0,berlinda,4.279999999999745,1.0,6056.02,5913.780000000001,0.2538635779837786,29.00355871886121,Baixa,🟢 Acima com folga
PGO402,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,Carteira 4,MG,"Poços de Caldas, MG","Poços de Caldas, MG, São Benedito",5,747,1707.66,31,1625.33,2025-09,0.48,0.4432,12,30,173.0,140.5,26,1.05,berlinda,-82.33000000000015,-0.0,5360.66,3461.1000000000004,-7.116933176647218,17.259786476868328,Baixa,🟢 Acima com folga
RIE0315,Florianopolis-Ingleses_Norte-apartamento-JR-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",6,412,2344.6,46,2398.09,2025-09,0.625,0.4263,15,30,268.69,198.6,10,0.98,berlinda,53.49000000000024,1.0,4330.6,3585.85,4.42982290072518,35.40925266903915,Baixa,🟢 Abaixo viável
VDG114,Florianopolis-Ingleses_Norte-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,1119,1102.63,27,1304.16,2025-09,0.3667,0.4449,11,30,172.57,177.82,22,0.85,berlinda,201.52999999999997,2.0,5014.67,2537.1750680000005,13.739136532327318,79.53736654804271,Média,🟢 Abaixo viável
VDR0202,Florianopolis-Cachoeira_Bom_Jesus-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus",10,355,4984.6,7,5143.63,2025-09,0.65,0.7317,13,30,544.5,488.4,5,0.97,berlinda,159.02999999999975,1.0,7426.6,6571.900000000001,15.100279763513294,82.02846975088967,Crítica,🟢 Abaixo viável
HMA0305,Sao_Paulo-Mariana-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Centro",1,375,2916.52,166,3253.8,2025-09,0.7586,0.6517,22,30,186.42,178.94,17,0.9,berlinda,337.2800000000002,2.0,5958.5,5224.166028,9.274215256008365,59.430604982206404,Média,🟢 Abaixo viável
