listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,prioridade,status_operacional
RUP0804,Blumenau-Central-apartamento-SUP-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Escola Agrícola",0,370,7546.16,69,6919.81,2025-10,0.5806,0.4574,18,31,511.28,291.09,11,2025-10-06,1.09,berlinda,-626.3499999999995,-2.0,10748.15,9405.235394,13.174077142291466,67.8082191780822,Média,🟢 Acima com folga
SGA202,Florianopolis-Jurere_Longe-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",3,1843,3065.24,13,2847.08,2025-10,0.75,0.2505,21,31,160.95,152.43,7,2025-10-06,1.08,berlinda,-218.15999999999985,-1.0,4132.25,3865.4975,11.680082329966135,62.78538812785388,Média,🟢 Acima com folga
TXP0919,Goiania-Central-apartamento-TOP-2Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",1,180,2328.67,12,2729.0,2025-10,0.3,0.2815,9,31,284.44,287.67,18,2025-10-06,0.85,berlinda,400.3299999999999,2.0,7506.7300000000005,3882.0879999999997,21.09984080249175,88.12785388127854,Crítica,🟢 Abaixo viável
BMR0004,Porto_Seguro-Pataxos-casa-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Loteamento Village I",0,351,2958.86,14,2994.45,2025-10,0.4516,0.491,14,31,261.64,193.18,11,2025-10-06,0.99,berlinda,35.58999999999969,1.0,5083.84,3918.5009680000003,2.2960063450716963,28.538812785388128,Baixa,🟢 Abaixo viável
CAS0031,Florianopolis-Estreito-apartamento-SUP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Coqueiros",4,223,1430.0,12,1538.55,2025-10,0.3704,0.2537,10,31,168.4,189.59,17,2025-10-06,0.93,berlinda,108.54999999999995,1.0,4653.030000000001,2623.810312,13.37622729193071,69.17808219178082,Média,🟢 Abaixo viável
JRR410,Florianopolis-Jurere_Tradicional-apartamento-MASTER-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1323,3976.12,16,4883.24,2025-10,0.5484,0.341,17,31,302.53,355.0,11,2025-10-06,0.81,berlinda,907.1199999999999,3.0,7881.12,6117.621999999999,21.981826273812736,89.49771689497716,Crítica,🟢 Abaixo viável
NWT0504,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,194,4037.58,30,4057.04,2025-10,0.5484,0.5207,17,31,281.82,325.55,11,2025-10-06,1.0,berlinda,19.460000000000036,1.0,7618.63,6001.42782,1.5615332853508994,27.168949771689498,Baixa,🟢 Acima com folga
NWT0911,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,6364.98,23,6021.4,2025-10,0.4839,0.6294,15,31,590.4,600.0,11,2025-10-06,1.06,berlinda,-343.5799999999999,-0.0,12964.98,9558.72,-34.2358919852526,0.684931506849315,Baixa,🟢 Acima com folga
SKC0414,Maceio-Jatiuca-apartamento-TOP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Jatiúca",0,237,3234.62,38,3021.96,2025-10,0.6774,0.5358,21,31,203.43,185.6,10,2025-10-06,1.07,berlinda,-212.65999999999985,-1.0,5090.62,4491.8744,13.06095911262888,67.12328767123287,Média,🟢 Acima com folga
TPS104,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,974,2764.16,23,2723.4,2025-10,0.8065,0.4492,25,31,149.68,157.75,4,2025-10-06,1.01,berlinda,-40.75999999999976,-0.0,3395.16,3273.0615,-2.360978923404554,20.776255707762555,Baixa,🟢 Acima com folga
VEC114,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,1009,2275.18,22,2120.75,2025-10,0.5806,0.4366,18,31,170.33,135.6,10,2025-10-06,1.07,berlinda,-154.42999999999984,-1.0,3631.18,3062.4736,9.874199221973349,54.109589041095894,Média,🟢 Acima com folga
AAR0203,Florianopolis-Campeche_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,41,2669.03,60,2725.1,2025-10,0.4839,0.3948,15,31,162.0,183.75,8,2025-10-06,0.98,berlinda,56.06999999999971,1.0,4139.030000000001,3380.3630000000003,3.780728230156673,30.82191780821918,Baixa,🟢 Abaixo viável
BCL402,Ilheus-Pontal-apartamento-TOP-1Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Pontal",0,630,1993.53,22,1812.75,2025-10,0.3548,0.2537,11,31,216.45,186.21,14,2025-10-06,1.1,berlinda,-180.77999999999997,-0.0,4600.47,2918.472312,-18.57015242035581,4.337899543378995,Baixa,🟢 Acima com folga
CRM0201,Florianopolis-Canto_da_Lagoa-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canto da Lagoa",4,198,2634.18,12,3241.51,2025-10,0.4815,0.3458,13,31,251.77,215.86,14,2025-10-06,0.81,berlinda,607.3300000000004,3.0,5656.219999999999,4089.29226,13.481191769679363,69.63470319634703,Média,🟢 Abaixo viável
EAA805,Maceio-Jatiuca-apartamento-SUP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Ponta Verde",0,555,2409.05,56,2722.97,2025-10,0.4516,0.4805,14,31,175.76,164.93,14,2025-10-06,0.88,berlinda,313.9199999999996,2.0,4718.07,3451.803432,9.507050316382466,51.598173515981735,Média,🟢 Abaixo viável
IAA1004,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",0,567,3159.81,48,3435.57,2025-10,0.5484,0.4586,17,31,215.65,216.69,13,2025-10-06,0.92,berlinda,275.7600000000002,2.0,5976.78,4704.636348,8.696436748487157,46.80365296803653,Baixa,🟢 Abaixo viável
ILC2413,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",12,1108,5238.96,16,5851.91,2025-10,0.7895,0.4525,15,31,440.13,421.0,3,2025-10-06,0.9,berlinda,612.9499999999998,2.0,6501.96,6236.0985,22.048523473532565,89.95433789954338,Crítica,🟢 Abaixo viável
TPS307,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,999,2367.79,23,2723.4,2025-10,0.5806,0.4492,18,31,166.06,169.45,11,2025-10-06,0.87,berlinda,355.6100000000001,3.0,4231.74,3449.9993699999995,7.3753536633130174,41.32420091324201,Baixa,🟢 Abaixo viável
