listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade,dias_disponiveis,falta_meta,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional
RUP0804,Blumenau-Central-apartamento-SUP-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Escola Agrícola",0,370,7546.16,69,6919.81,2025-10,0.5806,0.4574,18,31,511.28,305.3,10,2025-10-07,1.09,berlinda,10,-626.3499999999995,-2.0,10599.16,9318.7318,13.81718970607573,70.57471264367817,Alta,🟢 Acima com folga
SGA202,Florianopolis-Jurere_Longe-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",3,1843,3065.24,13,2847.08,2025-10,0.75,0.2505,21,31,160.95,152.43,7,2025-10-07,1.08,berlinda,7,-218.15999999999985,-1.0,4132.25,3865.4975,11.680082329966135,61.37931034482759,Alta,🟢 Acima com folga
TXP0919,Goiania-Central-apartamento-TOP-2Q,Carteira 1,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",1,180,2328.67,12,2729.0,2025-10,0.3,0.2815,9,31,284.44,288.18,17,2025-10-07,0.85,berlinda,17,400.3299999999999,2.0,7227.7300000000005,3798.388,21.137247966288015,87.816091954023,Crítico,🟢 Abaixo viável
BMR0004,Porto_Seguro-Pataxos-casa-JR-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Loteamento Village I",0,351,2958.86,14,2994.45,2025-10,0.4516,0.491,14,31,261.64,196.7,10,2025-10-07,0.99,berlinda,10,35.58999999999969,1.0,4925.860000000001,3847.1572,2.337842675616538,28.735632183908045,Média,🟢 Abaixo viável
CAS0031,Florianopolis-Estreito-apartamento-SUP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Coqueiros",4,223,1430.0,12,1538.55,2025-10,0.3704,0.2537,10,31,168.4,189.59,17,2025-10-07,0.93,berlinda,17,108.54999999999995,1.0,4653.030000000001,2623.810312,13.37622729193071,68.04597701149426,Alta,🟢 Abaixo viável
JRR410,Florianopolis-Jurere_Tradicional-apartamento-MASTER-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1323,3976.12,16,4883.24,2025-10,0.5484,0.341,17,31,302.53,355.0,11,2025-10-07,0.81,berlinda,11,907.1199999999999,3.0,7881.12,6117.621999999999,21.981826273812736,88.96551724137932,Crítico,🟢 Abaixo viável
NWT0504,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,194,4037.58,30,4057.04,2025-10,0.5484,0.5207,17,31,281.82,325.55,11,2025-10-07,1.0,berlinda,11,19.460000000000036,1.0,7618.63,6001.42782,1.5615332853508994,27.35632183908046,Média,🟢 Acima com folga
NWT0911,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,6364.98,23,6021.4,2025-10,0.4839,0.6294,15,31,590.4,600.0,11,2025-10-07,1.06,berlinda,11,-343.5799999999999,-0.0,12964.98,9558.72,-34.2358919852526,0.6896551724137931,Baixa,🟢 Acima com folga
SKC0414,Maceio-Jatiuca-apartamento-TOP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Jatiúca",0,237,3234.62,38,3021.96,2025-10,0.6774,0.5358,21,31,203.43,185.6,10,2025-10-07,1.07,berlinda,10,-212.65999999999985,-1.0,5090.62,4491.8744,13.06095911262888,66.4367816091954,Alta,🟢 Acima com folga
TPS104,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,974,2764.16,23,2723.4,2025-10,0.8065,0.4492,25,31,149.68,165.75,4,2025-10-07,1.01,berlinda,4,-40.75999999999976,-0.0,3427.16,3298.8695,-2.480711610486877,20.919540229885058,Média,🟢 Acima com folga
VEC114,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,1009,2275.18,22,2120.75,2025-10,0.5806,0.4366,18,31,170.33,138.44,9,2025-10-07,1.07,berlinda,9,-154.42999999999984,-1.0,3521.14,2998.584376,10.081003984439457,53.79310344827586,Alta,🟢 Acima com folga
AAR0203,Florianopolis-Campeche_Praia-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche",0,41,2669.03,60,2725.1,2025-10,0.4839,0.3948,15,31,162.0,188.0,8,2025-10-07,0.98,berlinda,8,56.06999999999971,1.0,4173.030000000001,3396.8156000000004,3.8681736450038344,31.494252873563216,Média,🟢 Abaixo viável
BCL402,Ilheus-Pontal-apartamento-TOP-1Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Pontal",0,630,1993.53,22,1812.75,2025-10,0.3548,0.2537,11,31,216.45,187.46,13,2025-10-07,1.1,berlinda,13,-180.77999999999997,-0.0,4430.51,2858.170504,-18.694811088125775,4.597701149425287,Baixa,🟢 Acima com folga
CRM0201,Florianopolis-Canto_da_Lagoa-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canto da Lagoa",4,198,2634.18,12,3241.51,2025-10,0.4815,0.3458,13,31,251.77,215.86,14,2025-10-07,0.81,berlinda,14,607.3300000000004,3.0,5656.219999999999,4089.29226,13.481191769679363,68.50574712643677,Alta,🟢 Abaixo viável
EAA805,Maceio-Jatiuca-apartamento-SUP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Ponta Verde",0,555,2409.05,56,2722.97,2025-10,0.4516,0.4805,14,31,175.76,165.5,14,2025-10-07,0.88,berlinda,14,313.9199999999996,2.0,4726.05,3455.4072,9.539906792950333,50.804597701149426,Alta,🟢 Abaixo viável
IAA1004,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",0,567,3159.81,48,3435.57,2025-10,0.5484,0.4586,17,31,215.65,212.54,13,2025-10-07,0.92,berlinda,13,275.7600000000002,2.0,5922.83,4675.050168,8.529884473318845,45.74712643678161,Média,🟢 Abaixo viável
ILC2413,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",12,1108,5238.96,16,5851.91,2025-10,0.7895,0.4525,15,31,440.13,421.0,3,2025-10-07,0.9,berlinda,3,612.9499999999998,2.0,6501.96,6236.0985,22.048523473532565,89.88505747126436,Crítico,🟢 Abaixo viável
TPS307,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,999,2367.79,23,2723.4,2025-10,0.5806,0.4492,18,31,166.06,182.6,10,2025-10-07,0.87,berlinda,10,355.6100000000001,2.0,4193.79,3427.9656,11.921566057134468,62.29885057471264,Alta,🟢 Abaixo viável
EAC1302,Balneario_Camboriu-Centro-apartamento-JR-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",1,702,2046.46,18,2286.65,2025-10,0.4,0.1784,12,31,177.75,173.07,14,2025-10-07,0.89,berlinda,14,240.19000000000005,2.0,4469.4400000000005,3015.652,9.089647147573965,48.275862068965516,Média,🟢 Abaixo viável
ILC4115,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",8,1626,6996.54,27,7940.49,2025-10,0.7391,0.6389,17,31,595.12,600.0,5,2025-10-07,0.88,berlinda,5,943.9499999999998,2.0,9996.54,9213.84,35.663416237536985,97.47126436781609,Crítico,🟢 Abaixo viável
NBL0606,Porto_Alegre-Jardim_Botanico-apartamento-SUP-1Q,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Santa Cecília",0,635,1077.18,44,1267.78,2025-10,0.2581,0.2528,8,31,157.88,141.1,21,2025-10-07,0.85,berlinda,21,190.5999999999999,2.0,4040.2799999999997,1841.95611,10.60659578160248,55.86206896551724,Alta,🟢 Abaixo viável
NWT0914,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,4281.14,30,4057.04,2025-10,0.5484,0.5207,17,31,296.65,268.67,9,2025-10-07,1.06,berlinda,9,-224.10000000000036,-0.0,6699.17,5607.1876520000005,-14.840609656301169,6.206896551724138,Baixa,🟢 Acima com folga
NWT1006,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,168,3967.21,30,4057.04,2025-10,0.4839,0.5207,15,31,310.35,284.55,11,2025-10-07,0.98,berlinda,11,89.82999999999993,1.0,7097.26,5481.841195,6.300437387849265,36.0919540229885,Média,🟢 Abaixo viável
SFR0411,Bombinhas-Centro-apartamento-SUP-1Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,6,2034.47,22,2120.75,2025-10,0.5806,0.4366,18,31,129.76,150.0,8,2025-10-07,0.96,berlinda,8,86.27999999999997,1.0,3234.4700000000003,2731.19,6.102558057291052,35.172413793103445,Média,🟢 Abaixo viável
TPS212,Florianopolis-Canasvieiras_Meio-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,999,2625.8,23,2723.4,2025-10,0.6774,0.4492,21,31,158.38,189.6,10,2025-10-07,0.96,berlinda,10,97.59999999999991,1.0,4521.8,3910.1504000000004,6.794800616875957,37.24137931034483,Média,🟢 Abaixo viável
ACO803,Balneario_Camboriu-Centro-apartamento-SUP-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,574,2720.25,38,2916.83,2025-10,0.4516,0.2975,14,31,229.15,251.4,10,2025-10-07,0.93,berlinda,10,196.57999999999993,1.0,5234.25,3855.5724,16.943123870777516,80.6896551724138,Crítico,🟢 Abaixo viável
CTS0203,Florianopolis-Itacorubi-apartamento-SUP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Itacorubi",0,76,4008.71,9,3649.9,2025-10,0.6452,0.3075,20,31,232.15,215.44,9,2025-10-07,1.1,berlinda,9,-358.80999999999995,-1.0,5947.67,5259.726992,21.17921762240061,88.04597701149424,Crítico,🟢 Acima com folga
CZZ0504,Urubici-Geral-apartamento-SUP-1Q,Especial,SC,"Urubici, SC","Urubici, SC, Centro",0,195,1161.93,51,1226.3,2025-10,0.1935,0.1148,6,31,204.83,144.89,19,2025-10-07,0.95,berlinda,19,64.36999999999989,1.0,3914.84,1694.618085,7.605454864225706,42.06896551724138,Média,🟢 Abaixo viável
