listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional
ECH113,Florianopolis-Centrao-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,607,3867.36,17,4799.1,2025-10,0.6774,0.3526,21,31,235.1,216.37,8,2025-10-13,0.81,0.0,931.7400000000002,berlinda,8,5.0,5598.32,5039.912304,8.401599624929673,55.7504873294347,Alta,🟢 Abaixo viável
EHI0401,Itajai-Praia_Brava-apartamento-MASTER-2Q,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Praia Brava",7,286,3863.45,10,3991.3,2025-10,0.5,0.4114,12,31,390.62,281.3,10,2025-10-13,0.97,2734.34,127.85000000000036,berlinda,10,1.0,6676.45,5269.95,9.010649412472153,58.67446393762184,Alta,🟢 Abaixo viável
HMO0410,Sao_Paulo-Butanta-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Butantã",0,397,3104.79,26,2824.61,2025-10,0.5806,0.535,18,31,202.89,167.55,11,2025-10-13,1.1,0.0,-280.17999999999984,berlinda,11,-1.0,4947.84,4174.86483,16.619695816413586,86.15984405458089,Crítico,🟡 Acima com risco
NWT0711,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,154,4514.36,26,4604.77,2025-10,0.6452,0.5984,20,31,286.4,285.27,11,2025-10-13,0.98,0.0,90.41000000000076,berlinda,11,1.0,7652.33,6538.978244,5.600987823496118,41.71539961013645,Média,🟢 Abaixo viável
ORN0101,Florianopolis-Ingleses_Norte-apartamento-JR-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",6,323,1816.46,17,1987.38,2025-10,0.52,0.4202,13,31,196.15,175.5,8,2025-10-13,0.91,1176.9,170.92000000000007,berlinda,8,1.0,3220.46,2546.54,15.093469794402688,82.45614035087719,Crítico,🟢 Abaixo viável
CPN0303,Florianopolis-Centrao-apartamento-TOP-2Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",0,145,4512.98,21,5167.96,2025-10,0.5484,0.4117,17,31,383.47,302.4,5,2025-10-13,0.87,0.0,654.9800000000005,berlinda,5,3.0,6024.98,5342.1608,12.77525058243486,75.24366471734892,Alta,🟢 Abaixo viável
RBM207,Cabo_Frio-Centro-apartamento-JR-3Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Vila Nova",5,828,2957.44,98,3094.94,2025-10,0.3077,0.3878,8,31,400.0,400.0,11,2025-10-13,0.96,2000.0,137.5,berlinda,11,1.0,7357.4400000000005,4311.32,17.770942247668778,89.47368421052632,Crítico,🟢 Abaixo viável
VST028,Especial-VST-casa-TOP-1Q,Carteira 5,SC,"Anitápolis, SC","Anitápolis, SC, Rio dos Pinheiros",0,145,1452.01,33,1488.1,2025-10,0.1935,0.1167,6,31,304.33,205.2,15,2025-10-13,0.98,0.0,36.08999999999992,berlinda,15,1.0,4530.01,2047.603,4.976592970902482,37.8167641325536,Média,🟢 Abaixo viável
CSF0202,Salvador-Barra-apartamento-SUP-2Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,182,4141.79,27,3820.01,2025-10,0.7097,0.5154,22,31,246.35,180.63,8,2025-10-13,1.08,0.0,-321.77999999999975,berlinda,8,-1.0,5586.83,5167.334887999999,15.215436975295862,82.65107212475633,Crítico,🟡 Acima com risco
ILC3412,Especial-ILC-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,309,7072.06,16,6783.04,2025-10,0.3226,0.534,10,31,791.0,790.0,12,2025-10-13,1.04,0.0,-289.02000000000044,berlinda,12,-0.0,16552.06,10130.308,-33.66127871868665,0.3898635477582846,Baixa,🟡 Acima com risco
