listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,score_risco_bruto,status_operacional
MOC0210,Petropolis-Quitandinha-apartamento-JR-1Q,Carteira 4,RJ,"Petrópolis, RJ","Petrópolis, RJ, Independência",0,316,1678.86,43,1750.88,2025-10,0.5161,0.3761,16,31,132.38,96.25,8,2025-10-17,0.96,0.0,72.02000000000021,berlinda,8,1.0,2448.8599999999997,2076.257,3.959109133692782,13.941018766756033,Baixa,,🟢 Abaixo viável
RGO702,Itapema-Meia_Praia-Sul-apartamento-SUP-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Castelo Branco",4,741,2363.46,23,2786.58,2025-10,0.7407,0.3298,20,31,141.4,139.5,6,2025-10-17,0.85,565.6,423.1199999999999,berlinda,6,4.0,3200.46,2983.4259,5.295491247335442,27.07774798927614,Média,,🟢 Abaixo viável
RRT0098,Penha-Longe-casa-JR-2Q,Carteira 6,SC,"Penha, SC","Penha, SC, Armação",0,392,2039.76,15,2403.93,2025-10,0.6129,0.305,19,31,137.79,100.0,4,2025-10-17,0.85,0.0,364.16999999999985,berlinda,4,4.0,2439.76,2284.92,3.7872359012117665,12.868632707774799,Baixa,,🟠 Abaixo precisa esforço
NWT0916,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,190,4705.37,26,4859.73,2025-10,0.6452,0.6467,20,31,278.5,253.33,3,2025-10-17,0.97,0.0,154.35999999999967,berlinda,3,1.0,5465.36,5195.715548,8.046541433371793,52.54691689008043,Alta,,🟢 Abaixo viável
PNA0402,Balneario_Camboriu-Centro-apartamento-SUP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,511,3952.08,69,4204.44,2025-10,0.5484,0.4207,17,31,297.47,308.55,11,2025-10-17,0.94,0.0,252.35999999999967,berlinda,11,1.0,7346.13,5813.37702,18.519868995633168,94.36997319034852,Crítico,,🟢 Abaixo viável
VGZ0002,Imbituba-Praia_do_Rosa-casa-SUP-1Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",5,589,2305.79,45,2557.22,2025-10,0.6923,0.2533,18,31,148.22,110.0,3,2025-10-17,0.9,741.1,251.42999999999984,berlinda,3,3.0,2635.79,2534.249,3.6051258788840976,10.991957104557642,Baixa,,🟠 Abaixo precisa esforço
CNA005,Especial-CNA-casa-MASTER-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,985,7564.24,25,8435.16,2025-10,0.4194,0.4339,13,31,735.0,458.13,8,2025-10-17,0.9,0.0,870.9200000000001,berlinda,8,2.0,11229.279999999999,9101.357776,23.65068235812954,97.58713136729223,Crítico,,🟢 Abaixo viável
EJO0403,Florianopolis-Centrao-apartamento-JR-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",3,362,1971.14,61,2297.84,2025-10,0.5714,0.498,16,31,143.25,99.12,8,2025-10-17,0.86,429.75,326.70000000000005,berlinda,8,4.0,2764.1000000000004,2424.237344,3.5231460850189755,10.187667560321715,Baixa,,🟢 Abaixo viável
PBR0003,Porto_Seguro-Estrada_da_Balsa-casa-TOP-3Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial d ajuda",10,275,7360.24,16,9163.88,2025-10,0.8095,0.582,17,31,529.94,553.0,1,2025-10-17,0.8,5299.400000000001,1803.6399999999994,berlinda,1,4.0,7913.24,7807.8935,27.210442519980614,98.39142091152814,Crítico,,🟠 Abaixo precisa esforço
PSD102,Florianopolis-Jurere_Tradicional-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",5,1959,1733.83,12,1785.91,2025-10,0.5769,0.3167,15,31,138.4,156.6,5,2025-10-17,0.97,692.0,52.080000000000155,berlinda,5,1.0,2516.83,2185.5427,4.566707168894303,20.37533512064343,Média,,🟢 Abaixo viável
