listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
DNAB1503,Goiania-Central-apartamento-SUP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",1,772,1393.74,149,1516.4,2025-11,0.3103,0.3335,9,30,186.0,190.8,15,2025-11-11,0.92,186.0,122.66000000000008,berlinda,15,1.0,4255.74,2281.8186,15.433611184384077,76.57430730478589,Alta,🟢 Abaixo viável,
EUB1006,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,262,2574.96,203,3119.92,2025-11,0.5333,0.546,16,30,218.81,206.9,10,2025-11-11,0.83,0.0,544.96,berlinda,10,3.0,4643.96,3678.3577,12.046486662051162,63.22418136020151,Alta,🟢 Abaixo viável,
NOH1302,Itapema-Meia_Praia-Sul-apartamento-TOP-3Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Castelo Branco",0,89,4283.01,27,4379.63,2025-11,0.5333,0.3145,16,30,308.75,600.0,13,2025-11-11,0.98,0.0,96.61999999999989,berlinda,13,1.0,12083.01,8442.75,13.236734610001287,69.77329974811083,Alta,🟢 Abaixo viável,
NWT1120,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,4,4513.96,40,4657.0,2025-11,0.6552,0.5442,19,30,288.42,280.0,6,2025-11-11,0.97,288.42,143.03999999999996,berlinda,6,1.0,6193.96,5614.696,8.600214730513203,42.56926952141058,Média,🟢 Abaixo viável,
PDC301,Ilheus-Sul-apartamento-JR-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, São Francisco",0,766,1445.6,15,1576.18,2025-11,0.4333,0.2399,13,30,133.15,119.83,6,2025-11-11,0.92,0.0,130.58000000000015,berlinda,6,2.0,2164.58,1757.134034,4.963710172696017,15.869017632241814,Baixa,🟢 Abaixo viável,
EAC404,Balneario_Camboriu-Centro-apartamento-JR-2Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",0,733,2732.47,45,2904.87,2025-11,0.5667,0.4181,17,30,202.35,185.0,6,2025-11-11,0.94,0.0,172.4000000000001,berlinda,6,1.0,3842.47,3361.5069999999996,10.979493058209151,59.19395465994962,Alta,🟢 Abaixo viável,
ENP0607,Sao_Paulo-Republica-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Vila Buarque",0,100,2260.99,467,2800.75,2025-11,0.6,0.5767,18,30,148.61,130.0,9,2025-11-11,0.81,0.0,539.7600000000002,berlinda,9,5.0,3430.99,2962.99,5.01071498705704,16.120906801007557,Baixa,🟢 Abaixo viável,
JBV344,Especial-JBV-hotel-JR-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,1342,7841.23,25,9026.89,2025-11,0.6333,0.58,19,30,526.0,475.57,7,2025-11-11,0.87,0.0,1185.6599999999999,berlinda,7,3.0,11170.22,9949.479367,20.821653459829463,87.1536523929471,Crítico,🟢 Abaixo viável,
JTL001,Florianopolis-Jurere_Longe-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,495,1847.0,39,1965.96,2025-11,0.4,0.455,12,30,206.75,159.29,14,2025-11-11,0.94,0.0,118.96000000000004,berlinda,14,1.0,4077.06,2739.024,9.63861848664266,50.88161209068011,Alta,🟢 Abaixo viável,
AYR0202,Florianopolis-Canasvieiras_Perto-apartamento-SUP-2Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras",0,297,4879.48,25,5283.94,2025-11,0.6333,0.5593,19,30,316.0,328.2,10,2025-11-11,0.92,0.0,404.46000000000004,berlinda,10,2.0,8161.48,6957.9706,12.561059739512563,65.23929471032746,Alta,🟢 Abaixo viável,
BPM1309,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,571,2559.66,203,3119.92,2025-11,0.5333,0.546,16,30,235.19,216.54,13,2025-11-11,0.82,0.0,560.2600000000002,berlinda,13,3.0,5374.68,4060.9101659999997,12.961731967486353,68.01007556675063,Alta,🟢 Abaixo viável,
CNB012,Especial-CNB-casa-TOP-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",0,591,4219.0,16,4791.07,2025-11,0.2,0.5074,6,30,880.5,626.06,16,2025-11-11,0.88,0.0,572.0699999999997,berlinda,16,1.0,14235.96,6222.392,74.75368637903429,99.49622166246851,Crítico,🟢 Abaixo viável,
