listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade,dias_disponiveis,dias_necessarios,potencial_max,potencial_realista,score_bruto,score_normalizado,faixa_prioridade,status_operacional,score_risco_bruto
BSS0703,Sao_Paulo-Santo_Amaro-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Jardim das Acácias",0,428,3484.71,157,3988.2,2025-11,0.7333,0.6596,22,30,192.45,134.0,1,0,2025-11-24,0.87,0.0,503.4899999999998,berlinda,1,4.0,3618.71,3582.9722,4.22920490446818,17.46987951807229,Baixa,🟠 Abaixo precisa esforço,
FFS0909,Itapema-Meia_Praia-Sul-apartamento-SUP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",10,2,1823.78,19,2238.48,2025-11,0.65,0.5187,13,30,178.15,126.0,3,0,2025-11-24,0.81,1781.5,414.70000000000005,berlinda,3,4.0,2201.7799999999997,2069.48,5.83567867481505,37.04819277108434,Média,🟠 Abaixo precisa esforço,
SLC0201,Florianopolis-Rio_Vermelho-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,318,2216.62,21,2656.73,2025-11,0.7333,0.5306,22,30,124.68,165.5,4,0,2025-11-24,0.83,0.0,440.1100000000001,berlinda,4,3.0,2878.62,2702.0645999999997,9.138829187259025,62.65060240963856,Alta,🟢 Abaixo viável,
SMT0713,Salvador-Boca_do_Rio-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Armação",1,274,2804.54,34,3140.34,2025-11,0.7241,0.6738,21,30,164.57,126.0,1,0,2025-11-24,0.89,164.57,335.8000000000002,berlinda,1,3.0,2930.54,2895.7766,4.491106058579646,19.879518072289155,Baixa,🟠 Abaixo precisa esforço,
SPT0104,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,591,757.89,42,910.58,2025-11,0.3,0.3663,9,30,101.0,100.0,6,24,2025-11-24,0.83,0.0,152.69000000000005,berlinda,6,2.0,1357.8899999999999,937.89,8.384216653122186,56.62650602409639,Alta,🟢 Abaixo viável,
IBI307,Florianopolis-Jurere_Internacional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1452,5484.08,50,6417.62,2025-11,0.6333,0.6175,19,30,342.95,282.0,2,0,2025-11-24,0.85,0.0,933.54,berlinda,2,4.0,6048.08,5841.2612,10.255292460444837,68.97590361445783,Alta,🟠 Abaixo precisa esforço,
ILC2505,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",7,1282,10618.12,30,11771.46,2025-11,0.8696,0.7857,20,30,705.35,516.67,3,0,2025-11-24,0.9,4937.45,1153.3399999999983,berlinda,3,3.0,12168.130000000001,11966.008696,16.87403765265026,87.04819277108435,Crítico,🟢 Abaixo viável,
ILC3209,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1445,9887.43,30,11771.46,2025-11,0.6,0.7857,18,30,700.0,465.0,1,0,2025-11-24,0.84,0.0,1884.0299999999988,berlinda,1,5.0,10352.43,10166.43,14.88471183693441,82.53012048192771,Crítico,🟠 Abaixo precisa esforço,
NWT0618,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,215,4369.35,43,5085.72,2025-11,0.6207,0.6637,18,30,279.56,250.0,3,0,2025-11-24,0.86,279.56,716.3699999999999,berlinda,3,3.0,5119.35,4834.875,11.738259282854735,73.79518072289156,Alta,🟠 Abaixo precisa esforço,
VGZ0007,Imbituba-Praia_do_Rosa-casa-SUP-1Q,Carteira 6,SC,"Imbituba, SC","Imbituba, SC, Ibiraquera",9,620,2297.18,44,2841.89,2025-11,0.8095,0.4208,17,30,167.29,110.0,2,0,2025-11-24,0.81,1505.61,544.71,berlinda,2,5.0,2517.18,2475.27,4.216778270798659,17.16867469879518,Baixa,🟠 Abaixo precisa esforço,
