listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,grupo_criticidade
ALU0123,Sao_Paulo-Liberdade-apartamento-JR-2Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Cambuci",31,331,0.0,15,2447.07,2025-10,,0.5687,0,31,,,0,2025-10-06,0.0,crítico
DPR0006,Balneario_Camboriu-Sul-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Barra",0,204,0.0,21,1518.27,2025-10,0.0,0.2688,0,31,,125.64,25,2025-10-06,0.0,crítico
EPK0903,Guara-Geral-apartamento-MASTER-2Q,Especial,DF,"Brasília, DF","Brasília, DF, Zona Indistrial",0,148,6005.67,8,2624.4,2025-10,0.6774,0.289,21,31,340.68,291.0,5,2025-10-06,2.29,meta_subestimada
ETY0024,Balneario_Camboriu-Centro-apartamento-SUP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",7,292,2515.36,63,3201.52,2025-10,0.5,0.294,12,31,250.33,324.1,10,2025-10-06,0.79,atenção
ILC2201,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",9,1461,1484.22,27,7940.49,2025-10,0.1364,0.6389,3,31,630.0,610.6,15,2025-10-06,0.19,crítico
ILC2415,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",12,796,6059.75,27,7940.49,2025-10,0.8421,0.6389,16,31,454.63,390.67,3,2025-10-06,0.76,atenção
JPR410,Especial-JPR-apartamento-TOP-3Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,447,7708.64,18,4604.66,2025-10,0.6452,0.3486,20,31,486.2,318.0,11,2025-10-06,1.67,ok
LUP0302,Barra_Velha-Itajuba-apartamento-SUP-3Q,Carteira 3,SC,"Barra Velha, SC","Barra Velha, SC, Itajubá",0,47,1594.55,20,2219.98,2025-10,0.4194,0.1431,13,31,151.38,207.5,18,2025-10-06,0.72,atenção
MHF1804,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",25,422,0.0,8,2301.25,2025-10,0.0,0.3219,0,31,,300.0,1,2025-10-06,0.0,crítico
MUT0036,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-3Q,Carteira 2,BA,"Santa Cruz Cabrália, BA","Santa Cruz Cabrália, BA, Coroa Vermelha",17,413,1619.45,24,4119.82,2025-10,0.5,0.3773,7,31,285.0,321.29,7,2025-10-06,0.39,crítico
NWTA0608,Especial-NWT-apartamento-MASTER-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,177,7823.33,23,6021.4,2025-10,0.7097,0.6294,22,31,396.55,428.57,7,2025-10-06,1.3,ok
PSO0306,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,121,2620.45,13,1489.07,2025-10,0.5806,0.4061,18,31,159.28,161.2,10,2025-10-06,1.76,ok
