listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
AST0103,Porto_Seguro-Pataxos-apartamento-SUP-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Taperapuan",0,316,1744.48,27,3632.05,2025-11,0.3333,0.4027,10,30,194.8,169.89,9,2025-11-11,0.48,0.0,1887.5700000000002,crítico
CVKB0006,São_Miguel_dos_Milagres-Geral-apartamento-SUP-1Q,Carteira 2,AL,"São Miguel dos Milagres, AL","São Miguel dos Milagres, AL, Centro",0,408,4583.15,16,4119.77,2025-11,0.5,0.5033,15,30,336.67,245.3,10,2025-11-11,1.11,0.0,-463.3799999999992,ok
DNAB1503,Goiania-Central-apartamento-SUP-1Q,Carteira 1_sys-price,GO,"Goiânia, GO","Goiânia, GO, Setor Bueno",1,772,1393.74,149,1516.4,2025-11,0.3103,0.3335,9,30,186.0,190.8,15,2025-11-11,0.92,186.0,122.66000000000008,berlinda
EDF1303,Salvador-Ondina_Rio_Vermelho-apartamento-TOP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Rio Vermelho",1,8,2353.27,34,3630.22,2025-11,0.5172,0.5369,15,30,192.8,208.08,13,2025-11-11,0.65,192.8,1276.9499999999998,atenção
EUB1006,Salvador-Barra-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Barra",0,262,2574.96,203,3119.92,2025-11,0.5333,0.546,16,30,218.81,206.9,10,2025-11-11,0.83,0.0,544.96,berlinda
IFT1108,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,248,2489.31,22,3277.09,2025-11,0.5333,0.375,16,30,184.5,183.57,14,2025-11-11,0.76,0.0,787.7800000000002,atenção
MHF0607,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,494,0.0,17,2947.0,2025-11,0.0,0.4478,0,30,0.0,355.21,19,2025-11-11,0.0,0.0,2947.0,crítico
MHF0802,Itapema-Canto_Praia-apartamento-TOP-2Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",1,27,4209.12,14,3094.94,2025-11,0.6207,0.2903,18,30,288.83,270.55,11,2025-11-11,1.36,288.83,-1114.1799999999998,ok
NAT0202,Cabo_Frio-Pero_Longe-casa-JR-4Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Praia do Peró",2,64,1473.15,31,2715.37,2025-11,0.1071,0.2683,3,30,675.0,426.5,14,2025-11-11,0.54,1350.0,1242.2199999999998,atenção
NWT0601,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,215,6974.57,40,4657.0,2025-11,0.9333,0.5442,28,30,300.64,281.5,2,2025-11-11,1.5,0.0,-2317.5699999999997,ok
