listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,dias_pmin,data_da_execucao,atingimento_meta,faturamento_perdido_bloqueio,falta_meta,grupo_criticidade
BPA0103,Sao_Paulo-Bela_Vista-apartamento-TOP-1Q,Carteira 4_sys-price,SP,"São Paulo, SP","São Paulo, SP, Bela Vista",1,177,6238.96,230,4695.93,2025-11,0.9655,0.7432,28,30,268.14,,0,0,2025-11-24,1.33,268.14,-1543.0299999999997,ok
BSS0703,Sao_Paulo-Santo_Amaro-apartamento-SUP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Jardim das Acácias",0,428,3484.71,157,3988.2,2025-11,0.7333,0.6596,22,30,192.45,134.0,1,0,2025-11-24,0.87,0.0,503.4899999999998,berlinda
BVA0601,Sao_Paulo-Republica-apartamento-SUP-1Q,Carteira 4_sys-price,SP,"São Paulo, SP","São Paulo, SP, Bela Vista",2,410,2799.12,470,3552.85,2025-11,0.8214,0.7444,23,30,164.26,,0,0,2025-11-24,0.79,328.52,753.73,atenção
CAA103,Bombinhas-Centro-apartamento-JR-2Q,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro",0,1094,4243.61,57,1557.2,2025-11,0.9,0.2626,27,30,199.11,115.0,1,0,2025-11-24,2.73,0.0,-2686.41,meta_subestimada
DAC0402,Florianopolis-Estreito-apartamento-SUP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Estreito",2,198,1188.87,24,2685.93,2025-11,0.4286,0.6316,12,30,129.75,,0,0,2025-11-24,0.44,259.5,1497.06,crítico
DON0504,Balneario_Camboriu-Norte-apartamento-SUP-3Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",1,108,7235.57,23,6569.44,2025-11,0.931,0.5601,27,30,352.41,180.0,1,0,2025-11-24,1.1,352.41,-666.1300000000001,ok
ECM0206,Florianopolis-Lagoa-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Lagoa da Conceição",2,40,2873.41,27,3747.01,2025-11,0.6071,0.7398,17,30,204.82,191.25,4,0,2025-11-24,0.77,409.64,873.6000000000004,atenção
EII0304,Maceio-Ponta_Verde-apartamento-SUP-1Q,Carteira 2,AL,"Maceió, AL","Maceió, AL, Ponta Verde",0,96,2983.62,212,4400.2,2025-11,0.6333,0.7724,19,30,189.37,184.4,5,0,2025-11-24,0.68,0.0,1416.58,atenção
FFS0909,Itapema-Meia_Praia-Sul-apartamento-SUP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",10,2,1823.78,19,2238.48,2025-11,0.65,0.5187,13,30,178.15,126.0,3,0,2025-11-24,0.81,1781.5,414.70000000000005,berlinda
IFT1208,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,53,3962.54,32,3277.09,2025-11,0.8,0.4396,24,30,198.44,,0,0,2025-11-24,1.21,0.0,-685.4499999999998,ok
LGD0205,Florianopolis-Centrao-apartamento-TOP-1Q,Carteira 4,SC,"Florianópolis, SC","Florianópolis, SC, Centro",1,436,3312.08,31,4642.4,2025-11,0.5517,0.549,16,30,252.69,173.0,1,0,2025-11-24,0.71,252.69,1330.3199999999997,atenção
LIV0512,Salvador-Graca-apartamento-TOP-1Q,Especial,BA,"Salvador, BA","Salvador, BA, Vitória",0,120,4089.77,15,3658.61,2025-11,0.7333,0.6726,22,30,234.82,200.33,3,0,2025-11-24,1.12,0.0,-431.15999999999985,ok
NWT1306,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",2,303,6733.23,43,5085.72,2025-11,0.8929,0.6637,25,30,341.0,,0,0,2025-11-24,1.32,682.0,-1647.5099999999993,ok
NXO2104,Sao_Paulo-Bela_Vista-apartamento-SUP-1Q,Carteira 4_sys-price,SP,"São Paulo, SP","São Paulo, SP, Consolação",4,572,1675.97,605,4142.47,2025-11,0.5,0.7186,13,30,222.67,150.0,3,0,2025-11-24,0.4,890.68,2466.5,crítico
PAR0001,Urubici-Geral-casa-TOP-1Q,Carteira 3,SC,"Urubici, SC","Urubici, SC, Arroio do Engenho",5,729,2128.99,100,3484.64,2025-11,0.4,0.2886,10,30,246.9,225.5,6,0,2025-11-24,0.61,1234.5,1355.65,atenção
PRY0004,Porto_Seguro-Pataxos-apartamento-SUP-2Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Taperapuã",2,23,4318.98,44,3643.3,2025-11,0.9286,0.5205,26,30,208.08,204.0,2,1,2025-11-24,1.19,416.16,-675.6799999999994,ok
PSD206,Florianopolis-Jurere_Tradicional-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",9,199,1829.17,23,3139.05,2025-11,0.4762,0.5172,10,30,273.0,230.33,3,0,2025-11-24,0.58,2457.0,1309.88,atenção
PSO0305,Penha-Beto_Carrero-apartamento-SUP-1Q,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocoroi",0,89,4790.43,18,2190.5,2025-11,0.9333,0.486,28,30,224.68,166.0,1,0,2025-11-24,2.19,0.0,-2599.9300000000003,meta_subestimada
PTZ0166,Ilheus-Boa_Vista-apartamento-JR-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Conquista",0,297,2102.92,32,1546.25,2025-11,0.6,0.3876,18,30,135.06,129.33,3,0,2025-11-24,1.36,0.0,-556.6700000000001,ok
SLC0201,Florianopolis-Rio_Vermelho-apartamento-JR-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho",0,318,2216.62,21,2656.73,2025-11,0.7333,0.5306,22,30,124.68,165.5,4,0,2025-11-24,0.83,0.0,440.1100000000001,berlinda
SMT0713,Salvador-Boca_do_Rio-apartamento-SUP-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Armação",1,274,2804.54,34,3140.34,2025-11,0.7241,0.6738,21,30,164.57,126.0,1,0,2025-11-24,0.89,164.57,335.8000000000002,berlinda
SPJ0304,Especial-SPJ-apartamento-TOP-1Q,Carteira 5,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê",0,515,7628.19,16,6452.9,2025-11,0.7667,0.7069,23,30,362.0,278.0,3,0,2025-11-24,1.18,0.0,-1175.29,ok
SPT0104,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,591,757.89,42,910.58,2025-11,0.3,0.3663,9,30,101.0,100.0,6,24,2025-11-24,0.83,0.0,152.69000000000005,berlinda
SPT0107,Blumenau-Central-apartamento-JR-1Q,Carteira 4,SC,"Blumenau, SC","Blumenau, SC, Itoupava Seca",0,596,463.92,42,910.58,2025-11,0.2,0.3663,6,30,105.33,100.0,6,23,2025-11-24,0.51,0.0,446.66,atenção
VAC5604,Barra_Velha-Tabuleiro-apartamento-TOP-2Q,Carteira 3,SC,"Barra Velha, SC","Barra Velha, SC, Itajuba",9,170,1058.32,57,1928.98,2025-11,0.1905,0.3592,4,30,276.75,273.0,6,27,2025-11-24,0.55,2490.75,870.6600000000001,atenção
BCL0507,Ilheus-Pontal-apartamento-SUP-2Q,Carteira 2,BA,"Ilhéus, BA","Ilhéus, BA, Pontal",0,423,3540.52,50,2537.59,2025-11,0.6,0.3651,18,30,216.83,178.67,6,0,2025-11-24,1.4,0.0,-1002.9299999999998,ok
CVY0306,Cabo_Frio-Centro-apartamento-JR-3Q,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Vila Nova",2,128,959.4,122,2350.4,2025-11,0.1429,0.3697,4,30,284.75,235.0,6,0,2025-11-24,0.41,569.5,1391.0,crítico
DLH0206,Gramado-Centro-apartamento-TOP-1Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Centro",0,521,10470.47,27,8121.75,2025-11,0.8667,0.7321,26,30,477.0,,0,0,2025-11-24,1.29,0.0,-2348.7199999999993,ok
EAC1304,Balneario_Camboriu-Centro-apartamento-JR-1Q,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro",2,733,3130.14,37,1985.43,2025-11,0.9286,0.5369,26,30,139.3,,0,0,2025-11-24,1.58,278.6,-1144.7099999999998,ok
EOO0203,Itapema-Praia_Itapema-apartamento-JR-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",1,5,2578.27,43,2115.85,2025-11,0.7586,0.4213,22,30,145.45,167.0,1,0,2025-11-24,1.22,145.45,-462.4200000000001,ok
IBI307,Florianopolis-Jurere_Internacional-apartamento-TOP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1452,5484.08,50,6417.62,2025-11,0.6333,0.6175,19,30,342.95,282.0,2,0,2025-11-24,0.85,0.0,933.54,berlinda
IFT0808,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,169,5164.4,32,3277.09,2025-11,0.8333,0.4396,25,30,263.32,165.67,3,0,2025-11-24,1.58,0.0,-1887.3099999999995,ok
ILC2505,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",7,1282,10618.12,30,11771.46,2025-11,0.8696,0.7857,20,30,705.35,516.67,3,0,2025-11-24,0.9,4937.45,1153.3399999999983,berlinda
ILC3209,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",0,1445,9887.43,30,11771.46,2025-11,0.6,0.7857,18,30,700.0,465.0,1,0,2025-11-24,0.84,0.0,1884.0299999999988,berlinda
ILC3415,Especial-ILC-hotel-TOP-1Q,Especial,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional",2,1971,6942.2,30,11771.46,2025-11,0.3929,0.7857,11,30,789.18,527.0,4,15,2025-11-24,0.59,1578.36,4829.259999999999,atenção
