listing,carteira,estado,cidade,Bairro
AAF1974,Carteira 3,SC,"Porto Belo, SC","Porto Belo, SC, Perequê"
AAF378,Carteira 6,SC,"Porto Belo, SC","Porto Belo, SC, Pereque"
AAL0204,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
AAM0203,Carteira 4,BA,"Salvador, BA","Salvador, BA, Stiep"
AAP1405,Carteira 2,BA,"Salvador, BA","Salvador, BA, Caminho das Árvores"
AAP1507,Carteira 2,BA,"Salvador, BA","Salvador, BA, Caminho das Árvores"
AAR0104,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Campeche"
ABC0202,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
AAR0203,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Campeche"
ABC0401,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
ABC0403,Carteira 6,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
ABC201,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava"
ABC2013,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
ABI0499,Carteira 3,SC,"Penha, SC","Penha, SC, Praia de Armação do Itapocorói"
ABL0138,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ABM0101,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Zimbros"
ABV485,Carteira 4,BA,"Itacaré, BA","Itacaré, BA, Alto da Boa vista"
ABZ302,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Itacorubi"
ACB0202,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus Leste"
ACB0204,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ACC519,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Trancoso"
ACE0201,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
ACG302,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Canasvieiras"
ACH014,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial DAjuda"
ACL0303,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
ACM0865,Carteira 3,GO,"Caldas Novas, GO","Caldas Novas, GO, Do Turista"
ACO803,Carteira 6,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro"
ACS806,Carteira 3,SC,"Balneário Camboriú, SC","Balneário Camboriú, SC, Centro"
ACT029,Carteira 1,DF,"Brasília, DF","Brasília, DF, Vila Planalto"
ADA0001,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial dAjuda"
ADC0074,Carteira 6,SP,"São Paulo, SP","São Paulo, SP, Vila Olímpia"
ADC0205,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ADC104,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ADC105,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ADC106,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ADE0001,Carteira 1,BA,"Salvador, BA","Salvador, BA, Chame-Chame"
ADE0003,Carteira 2,BA,"Salvador, BA","Salvador, BA, Chame-Chame"
ADI0302,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Ingleses do Rio Vermelho"
ADJ205,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Jurerê Internacional"
ADM0104,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D'Ajuda"
ADM0205,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial DAjuda"
ADP001,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Peró"
ADS0103,Carteira 4,RJ,"Cabo Frio, RJ","Cabo Frio, RJ, Passagem"
ADV306,Carteira 2,AL,"Maceió, AL","Maceió, AL, Mangabeiras"
AFF136,Carteira 3,SC,"Penha, SC","Penha, SC, Centro"
AFR0004,Carteira 1,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D ajuda"
AFT0210,Carteira 6,SC,"Florianópolis, SC","Florianópolis, SC, Córrego Grande"
AGA0203,Carteira 2,BA,"Camaçari, BA","Camaçari, BA, Monte Gordo"
AGA1660,Carteira 4,BA,"Camaçari, BA","Camaçari, BA, Monte Gordo"
AGL0001,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, Ilhéus"
AGL0002,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, Ilhéus"
AGL087,Carteira 4,BA,"Ilhéus, BA","Ilhéus, BA, Centro"
AGS0642,Carteira 6,SC,"Bombinhas, SC","Bombinhas, SC, Centro"
AHD001,Carteira 2,SC,"Florianópolis, SC","Florianópolis, SC, Rio Tavares"
AHG0108,Carteira 6,SP,"São Paulo, SP","São Paulo, SP, Consolação"
AHO1402,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Petrópolis"
AHRB703,Carteira 3,SC,"Itajaí, SC","Itajaí, SC, Praia Brava de Itajaí"
AIA2200,Carteira 3,SC,"Barra Velha, SC","Barra Velha, SC, Barra Velha"
AIR1105,Carteira 6,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas"
AIR1407,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas"
AIR1414,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas"
AIR1507,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas"
AIR1607,Carteira 4,RS,"Porto Alegre, RS","Porto Alegre, RS, Praia de Belas"
ALG103,Carteira 4,BA,"Camaçari, BA","Camaçari, BA, Guarajuba"
ALI024,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Cachoeira do Bom Jesus"
ALJ011,Carteira 4,BA,"Porto Seguro, BA","Porto Seguro, BA, Paraíso dos Pataxós"
ALL103,Carteira 6,RJ,"Petrópolis, RJ","Petrópolis, RJ, Itaipava"
