listing,group_name,num_listing_blocked,n_days_status,listing_fat,n_competitors,meta_value,year_month,to_listings,to_competitors,days_occupied,total_days
ABC0202,Itajai-Praia_Brava-apartamento-TOP-3Q,30,1291,0.0,16,5324.65,2025-09,,0.4575,0,30
AYR0202,Florianopolis-Canasvieiras_Perto-apartamento-SUP-2Q,0,236,2526.12,13,3226.32,2025-09,0.7,0.4333,21,30
BPM1309,Salvador-Barra-apartamento-SUP-1Q,1,510,2567.2,201,2862.8,2025-09,0.7241,0.5422,21,30
CCL0004,Camaçari-Jacuipe-casa-SUP-5Q,0,82,0.0,13,4573.3,2025-09,0.0,0.352,0,30
CDN206,Florianopolis-Campeche_Praia-apartamento-SUP-2Q,3,511,3671.12,17,2340.67,2025-09,1.0,0.5569,27,30
CNB012,Especial-CNB-casa-TOP-1Q,1,530,7631.18,14,5600.08,2025-09,0.5517,0.6068,16,30
EPO001,Itapema-Praia_Centro-apartamento-JR-3Q,3,537,3122.14,11,1703.19,2025-09,1.0,0.177,27,30
ETC0028,Florianopolis-Centrao-apartamento-SUP-3Q,0,119,5062.76,21,5344.85,2025-09,0.7667,0.5626,23,30
ETE0304,Maceio-Ponta_Verde-apartamento-TOP-1Q,0,461,4685.7,109,4123.34,2025-09,0.8,0.7286,24,30
IDF105,Florianopolis-Canasvieiras_Perto-apartamento-SUP-1Q,0,711,3182.88,24,2124.12,2025-09,0.9333,0.5331,28,30
IVT1301,Itapema-Meia_Praia-Norte-apartamento-SUP-3Q,7,640,2930.93,15,1670.83,2025-09,0.7826,0.1835,18,30
JBN0043,Sao_Paulo-Brooklin-apartamento-SUP-1Q,0,255,3231.75,119,3505.65,2025-09,0.7,0.6346,21,30
MHF1409,Itapema-Canto_Praia-apartamento-TOP-2Q,4,383,2700.3,12,2364.02,2025-09,0.6154,0.2853,16,30
MHF1507,Itapema-Canto_Praia-apartamento-TOP-1Q,5,146,2396.99,14,993.99,2025-09,0.8,0.3113,20,30
NWT0412,Especial-NWT-apartamento-TOP-1Q,0,91,463.63,34,4405.55,2025-09,0.0333,0.6132,1,30
NWT0610,Especial-NWT-apartamento-TOP-1Q,0,154,5453.42,34,4405.55,2025-09,0.8333,0.6132,25,30
NWT1308,Especial-NWT-apartamento-TOP-1Q,0,269,6352.64,34,4405.55,2025-09,0.8333,0.6132,25,30
PDL005,Porto_Seguro-Pataxos-apartamento-JR-2Q,0,483,1884.65,34,1868.02,2025-09,0.5667,0.3413,17,30
RUD0047,Porto_Seguro-Pataxos-casa-TOP-3Q,5,287,5478.08,12,4405.17,2025-09,0.48,0.3915,12,30
SAT0012,Sao_Paulo-Vila_Olimpia-apartamento-SUP-1Q,3,140,5404.12,278,5866.75,2025-09,0.8889,0.7121,24,30
SLC0204,Florianopolis-Rio_Vermelho-apartamento-JR-1Q,0,257,1425.41,15,1883.24,2025-09,0.8,0.5766,24,30
TXP1406,Goiania-Central-apartamento-SUP-1Q,1,718,3227.42,140,2762.08,2025-09,0.6897,0.6003,20,30
UML0104,Bombinhas-Mariscal-apartamento-TOP-2Q,0,424,2494.05,11,2043.83,2025-09,0.6667,0.1855,20,30
URB1110,Porto_Alegre-Jardim_Botanico-apartamento-JR-1Q,1,738,2026.24,13,670.08,2025-09,0.6897,0.5179,20,30
ABC0403,Itajai-Praia_Brava-apartamento-SUP-3Q,0,895,5820.68,24,3786.02,2025-09,0.9,0.4273,27,30
BLU0206,Florianopolis-Praia_Brava-apartamento-JR-2Q,7,437,2020.22,7,2282.25,2025-09,0.6957,0.2405,16,30
CET603,Balneario_Camboriu-Centro-apartamento-TOP-2Q,0,845,6059.56,26,3897.07,2025-09,0.9333,0.5212,28,30
CVPF102,Porto_de_Pedras-Geral-apartamento-SUP-2Q,0,572,2753.12,34,3196.88,2025-09,0.5333,0.417,16,30
JMA008,Florianopolis-Jurere_Longe-apartamento-JR-1Q,30,426,0.0,28,1059.5,2025-09,,0.409,0,30
NWT0814,Especial-NWT-apartamento-TOP-1Q,0,125,4167.63,34,4405.55,2025-09,0.6333,0.6132,19,30
ONP1716,Sao_Paulo-Bela_Vista-apartamento-SUP-1Q,3,42,2385.83,571,3473.53,2025-09,0.5926,0.6589,16,30
PSO0808,Penha-Beto_Carrero-apartamento-SUP-1Q,2,55,2073.28,20,1865.2,2025-09,0.6786,0.5162,19,30
PSO1004,Penha-Beto_Carrero-apartamento-SUP-1Q,1,24,3193.23,20,1865.2,2025-09,0.9655,0.5162,28,30
PSOA0807,Penha-Beto_Carrero-apartamento-SUP-1Q,1,39,2370.1,20,1865.2,2025-09,0.7241,0.5162,21,30
RMC203,Florianopolis-Estreito-apartamento-JR-1Q,1,781,1980.52,9,1300.26,2025-09,0.7586,0.3263,22,30
RPP0678,Penha-Longe-casa-JR-3Q,0,222,2411.3,19,1411.21,2025-09,0.6333,0.2829,19,30
SPT0102,Blumenau-Central-apartamento-JR-1Q,1,530,576.11,35,1509.6,2025-09,0.2414,0.4702,7,30
VDP0029,Cabo_Frio-Palmeiras-casa-JR-4Q,5,185,2644.88,25,2311.47,2025-09,0.56,0.3229,14,30
VTD0203,Florianopolis-UFSC-apartamento-SUP-1Q,1,33,2818.59,41,2601.66,2025-09,0.8276,0.5824,24,30
VTE0301,Itapema-Meia_Praia-Norte-apartamento-TOP-3Q,6,53,3509.86,12,3604.27,2025-09,0.8333,0.3061,20,30
YVD1301,Balneario_Camboriu-Intermediario-apartamento-SUP-3Q,6,579,3581.57,42,3086.35,2025-09,1.0,0.4478,24,30
AAR0101,Florianopolis-Campeche_Praia-apartamento-JR-1Q,0,73,1363.78,11,1416.08,2025-09,0.5333,0.5784,16,30
ADJ205,Florianopolis-Jurere_Tradicional-apartamento-JR-2Q,30,1923,0.0,11,3166.63,2025-09,,0.438,0,30
BHY0614,Brasilia-Setor_Hoteleiro-apartamento-JR-1Q,1,542,3692.5,102,5082.8,2025-09,0.8966,0.7065,26,30
EPE0304,Canela-Geral-apartamento-SUP-2Q,0,47,634.21,13,3073.6,2025-09,0.1667,0.3177,5,30
ILC2310,Especial-ILC-hotel-TOP-1Q,0,1266,7574.29,27,7153.6,2025-09,0.8667,0.7981,26,30
MRD0501,Balneario_Camboriu-Centro-apartamento-SUP-3Q,7,157,4756.88,60,2728.86,2025-09,0.7826,0.3613,18,30
MSSO1208,Goiania-Leste-apartamento-SUP-1Q,0,706,2999.79,79,2609.28,2025-09,0.7333,0.584,22,30
NWT0902,Especial-NWT-apartamento-TOP-1Q,0,160,4319.14,34,4405.55,2025-09,0.7667,0.6132,23,30
PGO209,Pocos_de_Caldas-Geral-apartamento-SUP-1Q,2,747,1840.35,29,1625.33,2025-09,0.5714,0.3768,16,30
SRE0201,Florianopolis-UFSC-apartamento-TOP-2Q,2,139,3796.7,18,1569.37,2025-09,0.6786,0.3962,19,30
SRR0007,Porto_Seguro-Pataxos-apartamento-JR-2Q,0,4,481.7,34,1868.02,2025-09,0.2,0.3413,6,30
STE0312,Salvador-Ondina_Rio_Vermelho-apartamento-SUP-1Q,1,14,1996.28,64,2576.44,2025-09,0.6207,0.5986,18,30
TCO0507,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,1,355,2305.89,76,1965.48,2025-09,0.7931,0.587,23,30
VGN0102,Florianopolis-Ingleses_Praia-apartamento-SUP-2Q,0,227,2187.26,28,2474.9,2025-09,0.5667,0.3303,17,30
VLJ204,Florianopolis-Canajure-apartamento-TOP-1Q,18,476,0.0,20,2965.01,2025-09,0.0,0.461,0,30
VRE102,Bombinhas-Bombas-apartamento-SUP-2Q,1,503,2172.92,54,1388.62,2025-09,0.8621,0.3456,25,30
VVP0027,Cabo_Frio-Pero_Perto-casa-JR-4Q,11,346,1966.0,25,2311.47,2025-09,0.5263,0.3229,10,30
YHD112,Florianopolis-UFSC-apartamento-TOP-1Q,30,528,0.0,15,1825.82,2025-09,,0.524,0,30
ACE0201,Florianopolis-Canasvieiras_Meio-apartamento-JR-2Q,0,671,2131.55,11,2295.43,2025-09,0.6333,0.3488,19,30
ASK001,Florianopolis-Itacorubi-apartamento-JR-1Q,0,1040,1985.21,13,1673.99,2025-09,0.8,0.7452,24,30
CCS0205,Florianopolis-Campeche_Praia-apartamento-TOP-1Q,0,556,4182.96,15,2340.67,2025-09,0.9667,0.585,29,30
DLH0105,Gramado-Centro-apartamento-TOP-2Q,0,390,5375.64,58,4406.4,2025-09,0.6667,0.4483,20,30
HAI406,Salvador-Centro-apartamento-JR-1Q,2,399,1761.05,26,1614.9,2025-09,0.5357,0.5602,15,30
ILC2108,Especial-ILC-hotel-TOP-1Q,0,1739,10787.96,27,7153.6,2025-09,0.9667,0.7981,29,30
JBV106,Especial-JBV-hotel-JR-1Q,0,1637,5028.02,25,4134.37,2025-09,0.8333,0.5455,25,30
JFM0062,Florianopolis-Beira_Mar-apartamento-JR-3Q,0,174,3615.08,76,3061.59,2025-09,0.7,0.5379,21,30
JQP0521,Sao_Paulo-Republica-apartamento-JR-1Q,1,28,1370.77,314,2585.68,2025-09,0.4828,0.6717,14,30
MDC0214,Gramado-Geral-apartamento-SUP-1Q,0,179,3779.85,60,2809.37,2025-09,0.9333,0.4502,28,30
MHFB0605,Itapema-Canto_Praia-apartamento-SUP-1Q,0,313,1807.6,12,1214.13,2025-09,0.5667,0.3234,17,30
NWT1019,Especial-NWT-apartamento-TOP-1Q,0,138,5981.13,34,4405.55,2025-09,0.8667,0.6132,26,30
PAI0303,Salvador-Barra-apartamento-JR-1Q,0,284,3271.35,108,2510.26,2025-09,0.9333,0.5868,28,30
PAR0002,Urubici-Geral-casa-TOP-1Q,11,668,3656.78,96,4532.67,2025-09,0.8947,0.3702,17,30
PSO0304,Penha-Beto_Carrero-apartamento-SUP-1Q,0,53,2846.17,20,1865.2,2025-09,0.8,0.5162,24,30
PSV000,Garopaba-Centro-casa-TOP-3Q,30,577,0.0,18,3751.88,2025-09,,0.2798,0,30
RAP0306,Florianopolis-Campeche_Praia-apartamento-SUP-1Q,4,269,2562.29,57,2518.77,2025-09,0.8077,0.5189,21,30
RFM0039,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,0,292,1930.37,23,2921.45,2025-09,0.5333,0.5633,16,30
SCO0003,Florianopolis-Campeche-apartamento-JR-1Q,0,146,1403.0,22,1148.78,2025-09,0.6,0.3891,18,30
TRS0003,Penha-Beto_Carrero-casa-SUP-1Q,0,103,2275.05,23,1653.55,2025-09,0.8,0.4482,24,30
TXP1007,Goiania-Central-apartamento-SUP-1Q,0,711,2961.72,140,2762.08,2025-09,0.7333,0.6003,22,30
TXP1905,Goiania-Central-apartamento-SUP-1Q,0,692,3137.18,140,2762.08,2025-09,0.7667,0.6003,23,30
TZS210,Penha-Longe-casa-SUP-2Q,0,503,1166.1,18,1168.87,2025-09,0.1667,0.2554,5,30
VST024,Especial-VST-casa-TOP-1Q,1,62,2335.77,35,2529.48,2025-09,0.3103,0.1819,9,30
CNA002,Especial-CNA-casa-MASTER-1Q,1,955,13745.59,24,9143.68,2025-09,0.8276,0.5133,24,30
EDJ0410,Florianopolis-Ingleses_Praia-apartamento-SUP-1Q,1,143,1768.31,21,2459.16,2025-09,0.5862,0.5783,17,30
GSH0102,Camaçari-Monte_Gordo-apartamento-JR-2Q,0,42,5222.43,18,2320.23,2025-09,0.8,0.447,24,30
ILC3312,Especial-ILC-hotel-JR-1Q,0,1910,6446.85,15,4134.37,2025-09,0.8667,0.5328,26,30
ILC4406,Especial-ILC-hotel-JR-1Q,7,1910,3834.7,15,4134.37,2025-09,0.5217,0.5328,12,30
MHFB2005,Itapema-Canto_Praia-apartamento-SUP-1Q,0,413,3010.95,12,1214.13,2025-09,0.8333,0.3234,25,30
NWT0922,Especial-NWT-apartamento-TOP-1Q,0,160,5960.44,34,4405.55,2025-09,0.9667,0.6132,29,30
NWT1004,Especial-NWT-apartamento-TOP-1Q,0,138,4228.22,34,4405.55,2025-09,0.6667,0.6132,20,30
PRJ004,Imbituba-Praia_do_Rosa-casa-SIM-1Q,0,1180,673.94,54,1292.48,2025-09,0.3333,0.3235,10,30
SOA0301,Salvador-Boca_do_Rio-apartamento-SUP-2Q,0,210,4597.21,11,3410.2,2025-09,0.8,0.6689,24,30
STN0404,Florianopolis-Ingleses_Norte-apartamento-SUP-2Q,0,167,2371.78,29,2481.79,2025-09,0.6667,0.4084,20,30
CZZ0505,Urubici-Geral-apartamento-SUP-1Q,0,101,3380.82,53,2228.74,2025-09,0.6667,0.2369,20,30
DRL0103,Bombinhas-Centro-apartamento-SUP-2Q,0,426,3060.32,26,1547.47,2025-09,0.9,0.262,27,30
ILC3313,Especial-ILC-hotel-JR-1Q,0,1554,6045.34,15,4134.37,2025-09,0.8,0.5328,24,30
NOR0101,Brasilia-Asa_Norte-apartamento-JR-2Q,0,706,3385.11,12,4987.91,2025-09,0.7333,0.6424,22,30
OBP0303,Penha-Beto_Carrero-apartamento-MASTER-2Q,0,291,6093.93,22,3566.68,2025-09,0.8333,0.3542,25,30
PDC001,Ilheus-Sul-apartamento-JR-2Q,0,406,1831.34,22,1781.05,2025-09,0.7,0.3029,21,30
RSR0614,Maceio-Cruz_das_Almas-apartamento-TOP-1Q,23,313,1352.73,47,4542.32,2025-09,1.0,0.8155,7,30
TCO0511,Porto_Alegre-Centro_Historico-apartamento-SUP-1Q,0,382,3436.53,76,1965.48,2025-09,1.0,0.587,30,30
TPZ0403,Santa_Cruz_Cabralia-Coroa_Vermelha-apartamento-SUP-2Q,0,601,2050.0,23,2921.45,2025-09,0.4333,0.5633,13,30
TSR0501,Ilheus-Sul-apartamento-SUP-2Q,2,14,2963.34,18,2399.79,2025-09,0.8214,0.3683,23,30
TXP0604,Goiania-Central-apartamento-TOP-1Q,2,441,2312.12,48,2731.56,2025-09,0.6071,0.5615,17,30
VST009,Especial-VST-casa-TOP-1Q,1,427,3461.92,35,2529.48,2025-09,0.4828,0.1819,14,30
BPM0807,Salvador-Barra-apartamento-SUP-1Q,0,549,3619.0,201,2862.8,2025-09,0.8333,0.5422,25,30
CAC025,Florianopolis-Ingleses_Praia-apartamento-SUP-2Q,0,144,2183.24,28,2474.9,2025-09,0.6,0.3303,18,30
CNB003,Especial-CNB-casa-TOP-1Q,0,537,9587.66,14,5600.08,2025-09,0.6333,0.6068,19,30
EGF000,Garopaba-Centro-casa-JR-3Q,9,518,1750.62,13,1549.41,2025-09,0.4762,0.2095,10,30
EMA101,Cabo_Frio-Centro-apartamento-SUP-2Q,1,1035,3341.41,83,3744.58,2025-09,0.7586,0.5528,22,30
ESA901,Balneario_Camboriu-Norte-apartamento-SUP-3Q,8,829,2392.69,8,4359.72,2025-09,0.6818,0.4407,15,30
