listing,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel
AAF378,583.0,500.0,2
AAL0204,124.18,120.0,1
AAP1405,184.96,138.0,1
AAP1507,154.29,139.0,2
AAR0101,110.0,100.0,1
AAR0203,151.24,120.0,1
ABC0202,,,0
ABC0403,265.93,,0
ABL0138,123.64,,0
ABM0101,631.53,480.0,2
ABY40002,171.29,174.0,3
ACB0202,325.04,153.67,3
ACB0204,361.77,155.5,2
ACE0201,126.84,130.0,2
ACG302,122.77,,0
ACI0320,144.55,172.0,1
ACL0303,132.67,141.0,4
ACM0865,193.1,162.0,1
ACO1103,197.27,,0
ACO803,209.08,140.0,2
ACT029,474.58,377.0,1
ADC0205,293.0,,0
ADC104,298.88,249.5,2
ADC105,320.43,,0
ADE0003,,142.8,5
ADJ205,,,0
ADP001,,,0
ADS0103,161.73,120.0,1
ADV306,126.13,,0
AGA0203,214.12,,0
AGS0642,318.27,220.0,2
AHO1402,216.31,208.8,5
AIA2200,122.77,110.0,3
AIR1407,275.69,333.0,5
AIR1414,298.2,333.0,2
AIR1507,280.1,333.0,5
AIR1607,324.22,333.0,3
AIS0305,125.43,,0
ALI024,393.89,500.0,2
ALR0802,275.53,173.0,1
ALT0402,370.0,315.5,4
ALU0123,302.5,,0
AMC0202,108.63,108.0,1
AMC0204,,160.0,5
APC0207,181.0,333.0,3
APC2200,257.78,,0
APG1103,194.92,,0
APS1005,169.08,150.6,5
AQT0604,202.75,180.0,2
ARK0201,239.12,210.33,3
ARN0104,202.1,150.0,1
ART003,135.0,172.6,5
ASK0003,104.9,104.0,2
ASK001,119.21,94.67,3
ASK002,109.88,99.5,4
ASR204,500.0,500.0,4
AST0103,222.54,248.0,2
ATB2014,191.08,174.6,5
ATC0301,136.35,150.0,3
ATE0302,126.4,,0
ATO3091,153.84,,0
ATP0001,488.18,510.8,5
ATP0002,,,0
ATP0003,516.67,500.0,3
ATP0006,543.0,518.0,3
ATP0008,521.11,,0
ATT0602,219.82,,0
AVM0011,262.94,250.0,2
AVR0203,174.14,,0
AYA201,202.16,160.0,3
AYR0202,163.48,210.75,4
BAB0202,147.07,127.0,2
BBC0004,,500.0,5
BBH1003,187.84,140.0,2
BCA0211,227.64,,0
BCA0601,183.19,,0
BCA1409,247.63,238.0,1
BCA1804,159.57,203.0,1
BCA2004,158.0,203.0,1
BCI1603,152.96,,0
BCL0507,190.27,176.5,4
BCL402,186.33,176.5,4
BCY2001,371.23,,0
BDR521,137.0,123.0,1
BDR522,129.76,,0
BDR523,128.67,126.0,4
BEH2209,171.55,177.2,5
BEL0201,,1200.0,5
BER0202,,133.2,5
BFC301,186.92,165.2,5
BFH0101,205.3,130.0,1
BFT2905,162.26,147.0,1
BFT3015,176.83,140.0,1
BFT3207,160.17,154.0,2
BHE0405,200.0,,0
BHY0614,197.65,170.0,1
BIA035,425.41,261.0,2
BIO0079,,455.0,5
BLB0507,177.85,,0
BLB1004,185.22,160.0,1
BLB1206,182.57,183.0,2
