listing,categoria,carteira,estado,cidade,Bairro,dias_bloqueados,dias_ativo,faturamento_mes,n_concorrentes,meta,mes_ano,to_listings,to_concorrentes,dias_ocupados,total_dias,media_preco_ocupado,media_preco_disponivel,ocupacao_ainda_disponivel,atingimento_meta,grupo_criticidade,data_atualizacao
CNA012,Especial-CNA-casa-MASTER-1Q,Especial,SP,"Campos do Jordão, SP","Campos do Jordão, SP, Jardim Europa",3,955,12690.18,25,9346.12,2025-09,0.8519,0.5516,23,30,769.44,623.93,14,1.36,ok,2025-09-25
CSP0407,Sao_Paulo-Bela_Vista-apartamento-TOP-1Q,Carteira 4,SP,"São Paulo, SP","São Paulo, SP, Bela Vista",3,252,5585.36,214,4116.85,2025-09,0.7037,0.7015,19,30,316.0,299.32,19,1.36,ok,2025-09-25
DAL207,Canela-Geral-apartamento-SUP-2Q,Carteira 4,RS,"Canela, RS","Canela, RS, São José",0,159,3120.86,16,2536.4,2025-09,0.6667,0.3413,20,30,243.8,199.76,17,1.23,ok,2025-09-25
DMS0107,Gramado-Centro-apartamento-TOP-2Q,Carteira 4,RS,"Gramado, RS","Gramado, RS, Bairro Belverede",3,102,1636.98,57,4304.82,2025-09,0.1111,0.4513,3,30,800.0,800.0,23,0.38,crítico,2025-09-25
ELF0503,Bombinhas-Bombas-apartamento-SUP-1Q,Especial,SC,"Bombinhas, SC","Bombinhas, SC, José Amândio",0,117,2402.6,22,1500.51,2025-09,0.5333,0.2446,16,30,,235.86,29,1.6,ok,2025-09-25
IAA1002,Recife-Boa_Viagem-apartamento-TOP-1Q,Carteira 2,PE,"Recife, PE","Recife, PE, Boa Viagem",0,537,4152.05,52,4952.87,2025-09,0.8667,0.7607,26,30,241.2,230.13,16,0.84,berlinda,2025-09-25
IER0305,Salvador-Ondina_Rio_Vermelho-apartamento-JR-1Q,Carteira 2,BA,"Salvador, BA","Salvador, BA, Ondina",0,7,2422.12,58,2360.13,2025-09,0.6667,0.6885,20,30,138.83,136.0,19,1.03,berlinda,2025-09-25
IFT1802,Itapema-Meia_Praia-Norte-apartamento-TOP-1Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Meia Praia",0,311,2642.68,23,1980.56,2025-09,0.9333,0.4156,28,30,176.58,167.4,10,1.33,ok,2025-09-25
MGI024,Porto_Seguro-Pitinga-casa-TOP-3Q,Carteira 2,BA,"Porto Seguro, BA","Porto Seguro, BA, Arraial D'Ajuda",5,675,12094.85,8,2596.63,2025-09,0.84,0.2222,21,30,915.92,634.42,12,4.66,meta_subestimada,2025-09-25
MHF1807,Itapema-Canto_Praia-apartamento-TOP-1Q,Carteira 5,SC,"Itapema, SC","Itapema, SC, Centro",0,258,1952.82,9,1154.3,2025-09,0.5333,0.3307,16,30,174.08,179.93,14,1.69,ok,2025-09-25
NDE0003,Florianopolis-Campeche-apartamento-SUP-1Q,Carteira 1,SC,"Florianópolis, SC","Florianópolis, SC, Ribeirão da Ilha",0,145,2435.79,22,1531.56,2025-09,0.7667,0.4539,23,30,163.57,179.52,23,1.59,ok,2025-09-25
NWT1008,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,137,6705.58,33,4282.3,2025-09,0.8667,0.6542,26,30,330.63,286.8,15,1.57,ok,2025-09-25
NWT1113,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",0,227,4340.51,33,4282.3,2025-09,0.6333,0.6542,19,30,334.65,324.0,4,1.01,berlinda,2025-09-25
NWT1419,Especial-NWT-apartamento-TOP-1Q,Carteira 5,AL,"Maceió, AL","Maceió, AL, Pajuçara",1,248,6669.74,33,4282.3,2025-09,0.9655,0.6542,28,30,472.69,315.28,18,1.56,ok,2025-09-25
OBS0201,Itapema-Meia_Praia-Sul-apartamento-JR-2Q,Carteira 6,SC,"Itapema, SC","Itapema, SC, Itapema",0,90,1881.16,12,1512.15,2025-09,0.7,0.4507,21,30,131.59,131.11,9,1.24,ok,2025-09-25
